Repo Name,Number of Functions,Alive Mutants,Mutants with Execution Errors,Mutants with syntax errors,passed count,failed count
pantherdb,12,5,0,0
pantherdb,12,4,0,1
pantherdb,12,7,0,2
pantherdb,12,9,0,4
datefinder,65,690,0,40
executing,19,228,0,0
sqlparse,54,74,0,5
phantom-types,11,0,130,2
python-pathspec,21,93,0,7
protobuf,0,0,0,0
soupsieve,47,228,0,12
texttable,25,0,0,16
tomli,22,0,0,5
pydoclint,59,154,0,23
idna,7,82,0,2
dataclasses-json,21,64,0,6
python-readchar,3,0,0,1
dateutil,76,880,0,32
command-line-chess,24,0,0,13
xmltodict,18,130,0,2
asciitree,1,0,0,0
objgraph,2,0,0,0
toolz,52,592,0,8
charset_normalizer,23,268,0,8
