Repo Name,Function Name,original_code,Description,Mutant Index,Mutant Code,Test Case,Test Result,Passed Count,Failed Count,Failed Tests,Failure Reasons
phantom-types,compose2,"def compose2(a: Callable[[AA], AR], b: Callable[[BA], AA]) -> Callable[[BA], AR]:
    """"""
    Returns a function composed from the two given functions ``a`` and ``b`` such that
    calling ``compose2(a, b)(x)`` is equivalent to calling ``a(b(x))``.

    >>> compose2("""".join, reversed)(""!olleH"")
    'Hello!'
    """"""
    a_name = _name(a)
    b_name = _name(b)

    def c(arg: BA) -> AR:
        return a(b(arg))
    c.__name__ = f'{a_name}∘{b_name}'
    c.__doc__ = f'Function composed as {a_name}({b_name}(_)).'
    return c",The `compose2` function takes two functions `a` and `b` as input and returns a new function that is a composition of the two input functions. This means that calling the composed function with an argument `x` is equivalent to first applying function `b` to `x` and then applying function `a` to the result. The goal of the `compose2` function is to create a new function that combines the functionality of the two input functions by applying them in a specific order.,1,"def compose2(a, b):
    def composed_function(x):
        return a(b(x))
    
    return composed_function",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
phantom-types,compose2,"def compose2(a: Callable[[AA], AR], b: Callable[[BA], AA]) -> Callable[[BA], AR]:
    """"""
    Returns a function composed from the two given functions ``a`` and ``b`` such that
    calling ``compose2(a, b)(x)`` is equivalent to calling ``a(b(x))``.

    >>> compose2("""".join, reversed)(""!olleH"")
    'Hello!'
    """"""
    a_name = _name(a)
    b_name = _name(b)

    def c(arg: BA) -> AR:
        return a(b(arg))
    c.__name__ = f'{a_name}∘{b_name}'
    c.__doc__ = f'Function composed as {a_name}({b_name}(_)).'
    return c",The `compose2` function takes two functions `a` and `b` as input and returns a new function that is a composition of the two input functions. This means that calling the composed function with an argument `x` is equivalent to first applying function `b` to `x` and then applying function `a` to the result. The goal of the `compose2` function is to create a new function that combines the functionality of the two input functions by applying them in a specific order.,2,"def compose2(a, b):
    def composed_function(x):
        return a(b(x))
    
    return composed_function",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
phantom-types,compose2,"def compose2(a: Callable[[AA], AR], b: Callable[[BA], AA]) -> Callable[[BA], AR]:
    """"""
    Returns a function composed from the two given functions ``a`` and ``b`` such that
    calling ``compose2(a, b)(x)`` is equivalent to calling ``a(b(x))``.

    >>> compose2("""".join, reversed)(""!olleH"")
    'Hello!'
    """"""
    a_name = _name(a)
    b_name = _name(b)

    def c(arg: BA) -> AR:
        return a(b(arg))
    c.__name__ = f'{a_name}∘{b_name}'
    c.__doc__ = f'Function composed as {a_name}({b_name}(_)).'
    return c",The `compose2` function takes two functions `a` and `b` as input and returns a new function that is a composition of the two input functions. This means that calling the composed function with an argument `x` is equivalent to first applying function `b` to `x` and then applying function `a` to the result. The goal of the `compose2` function is to create a new function that combines the functionality of the two input functions by applying them in a specific order.,3,"def compose2(a, b):
    def composed_function(x):
        return a(b(x))
    
    return composed_function",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
phantom-types,_get_scalar_int_bounds,"def _get_scalar_int_bounds(type_: type[Interval], exclude_min: bool=False, exclude_max: bool=False) -> tuple[int | None, int | None]:
    low = type_.__low__ if type_.__low__ != neg_inf else None
    high = type_.__high__ if type_.__high__ != inf else None
    if low is not None:
        try:
            scalar_low = int(low)
        except TypeError as exception:
            raise _NonScalarBounds from exception
        if exclude_min:
            scalar_low += 1
    else:
        scalar_low = None
    if high is not None:
        try:
            scalar_high = int(high)
        except TypeError as exception:
            raise _NonScalarBounds from exception
        if exclude_max:
            scalar_high -= 1
    else:
        scalar_high = None
    return (scalar_low, scalar_high)","The goal of the function `_get_scalar_int_bounds` is to extract integer bounds from a given interval type while optionally excluding the minimum and maximum values. 
It returns a tuple containing the scalar integer lower and upper bounds based on the input type, excluding the specified values if required. This function handles cases where the lower or upper bounds are infinite or non-numeric.

If this function is part of a class, it likely interacts with the class by utilizing the attributes `type_.__low__` and `type_.__high__` to extract the bounds from a specific interval type. The function may also raise a `_NonScalarBounds` exception if the bounds are not scalar values.",1,"def _get_scalar_int_bounds(type_, exclude_min=False, exclude_max=False):
    lower_bound = type_.__low__
    upper_bound = type_.__high__
    
    if exclude_min:
        if lower_bound == float('-inf'):
            lower_bound = float('-inf') + 1
        else:
            lower_bound += 1
            
    if exclude_max:
        if upper_bound == float('inf'):
            upper_bound = float('inf') - 1
        else:
            upper_bound -= 1

    if not isinstance(lower_bound, int) or not isinstance(upper_bound, int):
        raise _NonScalarBounds(""Bounds are not scalar values."")

    return lower_bound, upper_bound",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
phantom-types,_get_scalar_int_bounds,"def _get_scalar_int_bounds(type_: type[Interval], exclude_min: bool=False, exclude_max: bool=False) -> tuple[int | None, int | None]:
    low = type_.__low__ if type_.__low__ != neg_inf else None
    high = type_.__high__ if type_.__high__ != inf else None
    if low is not None:
        try:
            scalar_low = int(low)
        except TypeError as exception:
            raise _NonScalarBounds from exception
        if exclude_min:
            scalar_low += 1
    else:
        scalar_low = None
    if high is not None:
        try:
            scalar_high = int(high)
        except TypeError as exception:
            raise _NonScalarBounds from exception
        if exclude_max:
            scalar_high -= 1
    else:
        scalar_high = None
    return (scalar_low, scalar_high)","The goal of the function `_get_scalar_int_bounds` is to extract integer bounds from a given interval type while optionally excluding the minimum and maximum values. 
It returns a tuple containing the scalar integer lower and upper bounds based on the input type, excluding the specified values if required. This function handles cases where the lower or upper bounds are infinite or non-numeric.

If this function is part of a class, it likely interacts with the class by utilizing the attributes `type_.__low__` and `type_.__high__` to extract the bounds from a specific interval type. The function may also raise a `_NonScalarBounds` exception if the bounds are not scalar values.",2,"def _get_scalar_int_bounds(type_, exclude_min=False, exclude_max=False):
    lower_bound = type_.__low__ if hasattr(type_, '__low__') else float('-inf')
    upper_bound = type_.__high__ if hasattr(type_, '__high__') else float('inf')
    
    if exclude_min:
        if lower_bound == float('-inf'):
            raise _NonScalarBounds(""Lower bound is non-numeric"")
        lower_bound += 1
    
    if exclude_max:
        if upper_bound == float('inf'):
            raise _NonScalarBounds(""Upper bound is non-numeric"")
        upper_bound -= 1
    
    if not isinstance(lower_bound, int) or not isinstance(upper_bound, int):
        raise _NonScalarBounds(""Bounds are not scalar values"")
    
    return (lower_bound, upper_bound)",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
phantom-types,_get_scalar_int_bounds,"def _get_scalar_int_bounds(type_: type[Interval], exclude_min: bool=False, exclude_max: bool=False) -> tuple[int | None, int | None]:
    low = type_.__low__ if type_.__low__ != neg_inf else None
    high = type_.__high__ if type_.__high__ != inf else None
    if low is not None:
        try:
            scalar_low = int(low)
        except TypeError as exception:
            raise _NonScalarBounds from exception
        if exclude_min:
            scalar_low += 1
    else:
        scalar_low = None
    if high is not None:
        try:
            scalar_high = int(high)
        except TypeError as exception:
            raise _NonScalarBounds from exception
        if exclude_max:
            scalar_high -= 1
    else:
        scalar_high = None
    return (scalar_low, scalar_high)","The goal of the function `_get_scalar_int_bounds` is to extract integer bounds from a given interval type while optionally excluding the minimum and maximum values. 
It returns a tuple containing the scalar integer lower and upper bounds based on the input type, excluding the specified values if required. This function handles cases where the lower or upper bounds are infinite or non-numeric.

If this function is part of a class, it likely interacts with the class by utilizing the attributes `type_.__low__` and `type_.__high__` to extract the bounds from a specific interval type. The function may also raise a `_NonScalarBounds` exception if the bounds are not scalar values.",3,"def _get_scalar_int_bounds(type_, exclude_min=False, exclude_max=False):
    lower_bound = type_.__low__
    upper_bound = type_.__high__

    if exclude_min:
        if lower_bound == float('-inf'):
            raise _NonScalarBounds(""Lower bound is not a scalar value."")
        lower_bound += 1

    if exclude_max:
        if upper_bound == float('inf'):
            raise _NonScalarBounds(""Upper bound is not a scalar value."")
        upper_bound -= 1

    if not isinstance(lower_bound, int) or not isinstance(upper_bound, int):
        raise _NonScalarBounds(""Bounds are not scalar integer values."")

    return lower_bound, upper_bound",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
phantom-types,_get_scalar_float_bounds,"def _get_scalar_float_bounds(type_: type[Interval]) -> tuple[float | None, float | None]:
    low = type_.__low__ if type_.__low__ != neg_inf else None
    high = type_.__high__ if type_.__high__ != inf else None
    if low is not None:
        try:
            low = float(low)
        except TypeError as excpetion:
            raise _NonScalarBounds from excpetion
    if high is not None:
        try:
            high = float(high)
        except TypeError as exception:
            raise _NonScalarBounds from exception
    return (low, high)","The goal of the function is to obtain the lower and upper bounds of a given type of interval as float values. It checks if the lower bound is negative infinity and the upper bound is positive infinity, converting them to `None` if true. It then attempts to convert the bounds to float values and raises an exception if conversion is not possible. Finally, it returns a tuple containing the lower and upper bounds as float values or `None`.",1,"def _get_scalar_float_bounds(type_):
    lower_bound = type_['lower']
    upper_bound = type_['upper']

    if lower_bound == float('-inf'):
        lower_bound = None
    if upper_bound == float('inf'):
        upper_bound = None

    try:
        lower_bound = float(lower_bound)
        upper_bound = float(upper_bound)
    except ValueError:
        raise Exception(""Bounds must be convertible to float"")

    return (lower_bound, upper_bound)",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
phantom-types,_get_scalar_float_bounds,"def _get_scalar_float_bounds(type_: type[Interval]) -> tuple[float | None, float | None]:
    low = type_.__low__ if type_.__low__ != neg_inf else None
    high = type_.__high__ if type_.__high__ != inf else None
    if low is not None:
        try:
            low = float(low)
        except TypeError as excpetion:
            raise _NonScalarBounds from excpetion
    if high is not None:
        try:
            high = float(high)
        except TypeError as exception:
            raise _NonScalarBounds from exception
    return (low, high)","The goal of the function is to obtain the lower and upper bounds of a given type of interval as float values. It checks if the lower bound is negative infinity and the upper bound is positive infinity, converting them to `None` if true. It then attempts to convert the bounds to float values and raises an exception if conversion is not possible. Finally, it returns a tuple containing the lower and upper bounds as float values or `None`.",2,"def _get_scalar_float_bounds(type_):
    try:
        lower_bound = float('-infinity') if type_['lower_bound'] == '-infinity' else float(type_['lower_bound'])
        upper_bound = float('infinity') if type_['upper_bound'] == 'infinity' else float(type_['upper_bound'])
    except ValueError:
        raise ValueError(""Bounds must be convertible to float values"")
    
    return (lower_bound, upper_bound) if lower_bound != float('-infinity') or upper_bound != float('infinity') else (None, None)",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
phantom-types,_get_scalar_float_bounds,"def _get_scalar_float_bounds(type_: type[Interval]) -> tuple[float | None, float | None]:
    low = type_.__low__ if type_.__low__ != neg_inf else None
    high = type_.__high__ if type_.__high__ != inf else None
    if low is not None:
        try:
            low = float(low)
        except TypeError as excpetion:
            raise _NonScalarBounds from excpetion
    if high is not None:
        try:
            high = float(high)
        except TypeError as exception:
            raise _NonScalarBounds from exception
    return (low, high)","The goal of the function is to obtain the lower and upper bounds of a given type of interval as float values. It checks if the lower bound is negative infinity and the upper bound is positive infinity, converting them to `None` if true. It then attempts to convert the bounds to float values and raises an exception if conversion is not possible. Finally, it returns a tuple containing the lower and upper bounds as float values or `None`.",3,"def _get_scalar_float_bounds(type_):
    lower_bound = type_[0]
    upper_bound = type_[1]
    
    if lower_bound == float('-inf'):
        lower_bound = None
    if upper_bound == float('inf'):
        upper_bound = None
    
    try:
        lower_bound = float(lower_bound)
        upper_bound = float(upper_bound)
    except ValueError:
        raise ValueError(""Bounds could not be converted to float values"")
    
    return (lower_bound, upper_bound)",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
phantom-types,normalize_alpha2_country_code,"def normalize_alpha2_country_code(country_code: str) -> ParsedAlpha2:
    """"""
    Normalize mixed case country code.

    :raises InvalidCountryCode:
    """"""
    normalized = country_code.upper()
    if not is_alpha2_country_code(normalized):
        raise InvalidCountryCode
    return cast(ParsedAlpha2, normalized)","This function aims to normalize a mixed-case country code to uppercase, ensuring it is a valid two-letter alpha-2 country code. If the input is not a valid alpha-2 code, an exception is raised. The function then returns the normalized country code.",1,"def normalize_alpha2_country_code(country_code):
    alpha2_country_codes = ['AF', 'AL', 'DZ', 'AS', 'AD', 'AO', 'AI', 'AQ', 'AG', 'AR', 'AM', 'AW', 'AU', 'AT', 'AZ', 'BS',
                            'BH', 'BD', 'BB', 'BY', 'BE', 'BZ', 'BJ', 'BM', 'BT', 'BO', 'BA', 'BW', 'BV', 'BR', 'IO', 'BN',
                            'BG', 'BF', 'BI', 'KH', 'CM', 'CA', 'CV', 'KY', 'CF', 'TD', 'CL', 'CN', 'CX', 'CC', 'CO', 'KM',
                            'CG', 'CD', 'CK', 'CR', 'CI', 'HR', 'CU', 'CY', 'CZ', 'DK', 'DJ', 'DM', 'DO', 'EC', 'EG', 'SV',
                            'GQ', 'ER', 'EE', 'ET', 'FK', 'FO', 'FJ', 'FI', 'FR', 'GF', 'PF', 'TF', 'GA', 'GM', 'GE', 'DE',
                            'GH', 'GI', 'GR', 'GL', 'GD', 'GP', 'GU', 'GT', 'GN', 'GW', 'GY', 'HT', 'HM', 'VA', 'HN', 'HK',
                            'HU', 'IS', 'IN', 'ID', 'IR', 'IQ', 'IE', 'IL', 'IT', 'JM', 'JP', 'JO', 'KZ', 'KE', 'KI', 'KP',
                            'KR', 'KW', 'KG', 'LA', 'LV', 'LB', 'LS', 'LR', 'LY', 'LI', 'LT', 'LU', 'MO', 'MK', 'MG', 'MW',
                            'MY', 'MV', 'ML', 'MT', 'MH', 'MQ', 'MR', 'MU', 'YT', 'MX', 'FM', 'MD', 'MC', 'MN', 'MS', 'MA',
                            'MZ', 'MM', 'NA', 'NR', 'NP', 'NL', 'AN', 'NC', 'NZ', 'NI', 'NE', 'NG', 'NU', 'NF', 'MP', 'NO',
                            'OM', 'PK', 'PW', 'PS', 'PA', 'PG', 'PY', 'PE', 'PH', 'PN', 'PL', 'PT', 'PR', 'QA', 'RE', 'RO',
                            'RU', 'RW', 'SH', 'KN', 'LC', 'PM', 'VC', 'WS', 'SM', 'ST', 'SA', 'SN', 'CS', 'SC', 'SL', 'SG',
                            'SK', 'SI', 'SB', 'SO', 'ZA', 'GS', 'ES', 'LK', 'SD', 'SR', 'SJ', 'SZ', 'SE', 'CH', 'SY', 'TW',
                            'TJ', 'TZ', 'TH', 'TL', 'TG', 'TK', 'TO', 'TT', 'TN', 'TR', 'TM', 'TC', 'TV', 'UG', 'UA', 'AE',
                            'GB', 'US', 'UM', 'UY', 'UZ', 'VU', 'VE', 'VN', 'VG', 'VI', 'WF', 'EH', 'YE', 'YU', 'ZM', 'ZW']

    normalized_country_code = country_code.upper()

    if normalized_country_code in alpha2_country_codes:
        return normalized_country_code
    else:
        raise ValueError(""Invalid alpha-2 country code"")",N/A,Execution error: '>' not supported between instances of 'str' and 'int',0,0,[],[]
