repo,metric,mean_distance
pantherdb,tokens,39.916666666666664
pantherdb,bleu,0.8647924490596737
pantherdb,cosine,0.3542210566991961
pantherdb,jaccard,0.3788228390645639
pantherdb,tf,0.4884208400208638
datefinder,tokens,150.5897435897436
datefinder,bleu,0.9223862641400351
datefinder,cosine,0.3755072067829989
datefinder,jaccard,0.4262303027823042
datefinder,tf,0.47299157012237114
executing,tokens,206.57894736842104
executing,bleu,0.8781113212993507
executing,cosine,0.327241151714444
executing,jaccard,0.3257786958813068
executing,tf,0.42876969147832794
sqlparse,tokens,106.95679012345678
sqlparse,bleu,0.8833463793912236
sqlparse,cosine,0.37364536753088323
sqlparse,jaccard,0.4526384181933748
sqlparse,tf,0.4797509644141861
phantom-types,tokens,72.33333333333333
phantom-types,bleu,0.9124267690409811
phantom-types,cosine,0.33293297058534943
phantom-types,jaccard,0.3298243713898854
phantom-types,tf,0.4484111422463234
python-pathspec,tokens,241.63492063492063
python-pathspec,bleu,0.9816954936875137
python-pathspec,cosine,0.5027819560473892
python-pathspec,jaccard,0.3968825382418306
python-pathspec,tf,0.602442299135103
